iter	Logloss
0	0.6874158298
1	0.6827747374
2	0.678379398
3	0.6743086136
4	0.6705643844
5	0.6673566471
6	0.6643271282
7	0.66141436
8	0.6589434434
9	0.6568221124
10	0.654549968
11	0.6526925927
12	0.6509064766
13	0.6493974486
14	0.6483209622
15	0.6469846022
16	0.6458102048
17	0.6444524528
18	0.6433688761
19	0.6422898006
20	0.6410897842
21	0.6400603688
22	0.639336708
23	0.6384922467
24	0.6375485552
25	0.6366324053
26	0.6356765386
27	0.6349774132
28	0.6341477614
29	0.6333742999
30	0.6327278853
31	0.6320923815
32	0.6315037481
33	0.6308275674
34	0.6302984618
35	0.629627739
36	0.6290333986
37	0.6284922265
38	0.6279635936
39	0.6274307606
40	0.6269236663
41	0.6263902195
42	0.6258904195
43	0.6254992199
44	0.6250761007
45	0.6245862941
46	0.6240965693
47	0.6236943199
48	0.6232882549
49	0.6228949448
50	0.6224862653
51	0.6221275611
52	0.6217620109
53	0.6213334898
54	0.6208859113
55	0.6205337637
56	0.6201226763
57	0.6197831736
58	0.6193506742
59	0.6189326053
60	0.6185729676
61	0.6182268746
62	0.6178722732
63	0.6175614296
64	0.6172213805
65	0.6169113583
66	0.6165286273
67	0.6161962343
68	0.6158050105
69	0.6154880018
70	0.6151877723
71	0.6148784145
72	0.6145958502
73	0.6143035536
74	0.6139936968
75	0.6137250649
76	0.6134249241
77	0.613092986
78	0.6128226839
79	0.6125648212
80	0.6123173824
81	0.6120565241
82	0.6118053139
83	0.6115362961
84	0.6113008089
85	0.6109943054
86	0.6107198214
87	0.6104496741
88	0.6101893258
89	0.60993808
90	0.6096821261
91	0.6094436554
92	0.6092033066
93	0.6089678079
94	0.6087431361
95	0.6085229266
96	0.608258367
97	0.6080146429
98	0.6077860127
99	0.607561021
100	0.6073569959
101	0.6071590673
102	0.6069640666
103	0.6067620803
104	0.6065666562
105	0.6063453084
106	0.6061579639
107	0.605935871
108	0.6057415534
109	0.60555175
110	0.6053557697
111	0.6051699393
112	0.6049698067
113	0.6047887664
114	0.6045868132
115	0.6043884588
116	0.6041859698
117	0.6040055988
118	0.6038345795
119	0.6036637739
120	0.6035047988
121	0.6033348081
122	0.6031213769
123	0.6029347858
124	0.6027599175
125	0.6025945751
126	0.6024126252
127	0.6022773102
128	0.6021079363
129	0.6019398995
130	0.601783534
131	0.6016204989
132	0.6014546265
133	0.601292154
134	0.6011376687
135	0.60097658
136	0.6008112397
137	0.6006556209
138	0.6004967609
139	0.6003001453
140	0.6001669559
141	0.6000098113
142	0.5998582957
143	0.5997366945
144	0.5996071389
145	0.5994592451
146	0.5993102611
147	0.5991610594
148	0.5990243871
149	0.5988740429
150	0.5987256316
151	0.5985498059
152	0.5984018203
153	0.5982495559
154	0.5981195496
155	0.5979766912
156	0.597840479
157	0.5977102077
158	0.5975731428
159	0.5974469065
160	0.59731136
161	0.5971271542
162	0.5969941243
163	0.5968552413
164	0.5967126543
165	0.5965873412
166	0.5964495476
167	0.5963165535
168	0.5961845988
169	0.5960500818
170	0.595935321
171	0.5958059826
172	0.5956836873
173	0.5955690045
174	0.595435297
175	0.5953122381
176	0.5951813232
177	0.5950712219
178	0.5949587568
179	0.5948222662
180	0.5946990398
181	0.5945576268
182	0.5944396208
183	0.594318053
184	0.5942108201
185	0.5941062195
186	0.5939921503
187	0.5938767839
188	0.5937631111
189	0.593639786
190	0.5935446255
191	0.5934100458
192	0.5932836938
193	0.5931244405
194	0.5930088845
195	0.5928962583
196	0.5927682834
197	0.5926453855
198	0.5925438346
199	0.5924230601
200	0.5923045682
201	0.5921917541
202	0.5920879563
203	0.5919849085
204	0.591877823
205	0.5917558606
206	0.5916468717
207	0.5915384753
208	0.5914185861
209	0.5913246248
210	0.5912209981
211	0.5911236977
212	0.5910188736
213	0.5909291423
214	0.5908171444
215	0.5907288923
216	0.5906218449
217	0.590527103
218	0.5904227747
219	0.5903241849
220	0.5902034322
221	0.5901119431
222	0.5900014788
223	0.5899057944
224	0.5898070119
225	0.5896892926
226	0.5895701211
227	0.5894667931
228	0.5893583229
229	0.589269777
230	0.5891660811
231	0.5890619321
232	0.5889461745
233	0.5888671179
234	0.5887525436
235	0.5886655643
236	0.5885754446
237	0.5884952279
238	0.5884029187
239	0.5883045377
240	0.5881997773
241	0.5881024098
242	0.5880011631
243	0.5879188178
244	0.5878301357
245	0.5877371007
246	0.5876537024
247	0.5875686569
248	0.5874418162
249	0.5873432337
250	0.5872498465
251	0.5871387425
252	0.5870498745
253	0.5869602655
254	0.5868657465
255	0.5867878287
256	0.5866904267
257	0.5866082585
258	0.5865261205
259	0.586449217
260	0.5863614299
261	0.5862741462
262	0.5861628704
263	0.5860712427
264	0.5859613392
265	0.5858503986
266	0.5857543802
267	0.5856680321
268	0.585589405
269	0.5855103165
270	0.5854294562
271	0.5853328128
272	0.5852470764
273	0.5851643301
274	0.5850935994
275	0.5849993853
276	0.5849139387
277	0.5848397676
278	0.5847537337
279	0.5846744829
280	0.5845907413
281	0.5845004424
282	0.5844228937
283	0.5843307228
284	0.5842297303
285	0.5841480656
286	0.5840618955
287	0.5839799128
288	0.5839025846
289	0.5838220115
290	0.5837382398
291	0.5836329619
292	0.5835512309
293	0.5834743257
294	0.5834031091
295	0.5833069796
296	0.5832212511
297	0.5831375003
298	0.5830459279
299	0.5829697138
300	0.5828757125
301	0.5828007453
302	0.5827246477
303	0.5826535958
304	0.5825835273
305	0.5825025374
306	0.5824246462
307	0.5823428577
308	0.5822659711
309	0.5821968352
310	0.5821162102
311	0.5820361426
312	0.5819610913
313	0.5818830712
314	0.5818156498
315	0.5817309216
316	0.5816581516
317	0.5815598017
318	0.5814852373
319	0.5814023454
320	0.5813311825
321	0.5812532379
322	0.5811832399
323	0.5811131288
324	0.5810409734
325	0.5809698677
326	0.5809188965
