iter	Logloss
327	0.5808409907
328	0.5807755563
329	0.5806765936
330	0.5806039621
331	0.5805294766
332	0.5804467687
333	0.5803738465
334	0.5803145898
335	0.5802390604
336	0.5801737434
337	0.5801117367
338	0.5800383286
339	0.5799615853
340	0.5798887478
341	0.5798223358
342	0.5797500894
343	0.5796734464
344	0.5795978935
345	0.579527464
346	0.579446882
347	0.5793779965
348	0.5793004044
349	0.5792357782
350	0.5791660146
351	0.5790992772
352	0.5790255057
353	0.5789472339
354	0.5788790602
355	0.5787989717
356	0.5787306462
357	0.5786614926
358	0.5786078587
359	0.5785512759
360	0.5784665478
361	0.5784044665
362	0.5783374239
363	0.5782776295
364	0.5782033453
365	0.5781377767
366	0.5780452396
367	0.5779869074
368	0.5779139907
369	0.5778473302
370	0.5777753459
371	0.5776967775
372	0.5776308188
373	0.5775679031
374	0.577503267
375	0.577442223
376	0.5773611356
377	0.577297111
378	0.5772229481
379	0.5771641787
380	0.5770930014
381	0.5770218204
382	0.5769470713
383	0.5768668401
384	0.5767722633
385	0.5767035484
386	0.5766420873
387	0.5765751576
388	0.5765326245
389	0.5764818023
390	0.5764064882
391	0.576340884
392	0.5762738203
393	0.5762030144
394	0.5761522534
395	0.5760847109
396	0.576011099
397	0.5759581809
398	0.5758804898
399	0.5758115704
400	0.5757241514
401	0.5756773623
402	0.5755957036
403	0.5755418206
404	0.5754917539
405	0.5754253054
406	0.5753676283
407	0.5753026446
408	0.5752502906
409	0.5751847461
410	0.5751080195
411	0.5750450585
412	0.5749768136
413	0.5749216674
414	0.5748603597
415	0.5747979803
416	0.5747291999
417	0.5746743441
418	0.5746102871
419	0.5745414998
420	0.5744830213
421	0.5744153432
422	0.5743370717
423	0.5742623214
424	0.5741889501
425	0.5741226154
426	0.5740608377
427	0.5740030739
428	0.5739392774
429	0.5738714262
430	0.5738158037
431	0.5737749636
432	0.5737430476
433	0.5736682799
434	0.5735816625
435	0.5735187298
436	0.5734386081
437	0.5733700336
438	0.5733117371
439	0.5732473367
440	0.573181417
441	0.5731235025
442	0.5730696065
443	0.5730039411
444	0.572940958
445	0.572863304
446	0.5727765688
447	0.5727127933
448	0.5726491685
449	0.5725905311
450	0.5725167462
451	0.5724590319
452	0.5724001198
453	0.5723481486
454	0.5722998836
455	0.5722510756
456	0.5721932309
457	0.5721394697
458	0.5720597384
459	0.572007124
460	0.5719368309
461	0.5718624277
462	0.5717968852
463	0.5717230768
464	0.5716594747
465	0.5716048066
466	0.5715451248
467	0.5714857674
468	0.5714197216
469	0.5713663833
470	0.5712975948
471	0.5712418449
472	0.5711898563
473	0.5711184615
474	0.5710599311
475	0.5709983851
476	0.5709431781
477	0.5708766227
478	0.5708162128
479	0.5707633416
480	0.5706903288
481	0.5706426646
482	0.5705732358
483	0.5705180749
484	0.570453176
485	0.5703991196
486	0.5703452776
487	0.570291406
488	0.5702232173
489	0.5701719347
490	0.570112436
491	0.5700531181
492	0.5699956594
493	0.5699395505
494	0.5698724653
495	0.5698172591
496	0.5697625225
497	0.5697101103
498	0.5696611424
499	0.5696027766
