iter	Passed	Remaining
402	12587	3029
403	12622	2999
404	12651	2967
405	12680	2935
406	12705	2903
407	12737	2872
408	12771	2841
409	12806	2811
410	12834	2779
411	12863	2747
412	12893	2715
413	12921	2684
414	12951	2652
415	12980	2621
416	13011	2589
417	13041	2558
418	13077	2528
419	13113	2497
420	13140	2465
421	13167	2433
422	13212	2405
423	13240	2373
424	13274	2342
425	13304	2311
426	13331	2279
427	13362	2247
428	13393	2216
429	13426	2185
430	13463	2155
431	13492	2123
432	13518	2091
433	13550	2060
434	13576	2028
435	13602	1996
436	13639	1966
437	13668	1934
438	13696	1903
439	13724	1871
440	13761	1841
441	13791	1809
442	13822	1778
443	13859	1748
444	13886	1716
445	13915	1684
446	13948	1653
447	13976	1622
448	14007	1591
449	14040	1560
450	14069	1528
451	14101	1497
452	14128	1465
453	14162	1434
454	14191	1403
455	14222	1372
456	14250	1340
457	14278	1309
458	14305	1277
459	14333	1246
460	14367	1215
461	14403	1184
462	14436	1153
463	14469	1122
464	14499	1091
465	14526	1059
466	14554	1028
467	14583	997
468	14618	966
469	14646	934
470	14673	903
471	14703	872
472	14729	840
473	14759	809
474	14799	778
475	14839	748
476	14869	716
477	14896	685
478	14928	654
479	14957	623
480	14986	591
481	15019	560
482	15047	529
483	15071	498
484	15097	466
485	15130	435
486	15157	404
487	15191	373
488	15223	342
489	15251	311
490	15280	280
491	15306	248
492	15348	217
493	15376	186
494	15408	155
495	15442	124
496	15479	93
497	15507	62
498	15538	31
499	15563	0
